"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"ago/22";"jul/22";"jun/22";"mai/22";"abr/22";"mar/22";"fev/22";"jan/22";"dez/21";"nov/21";"out/21";"set/21";"Competência";"Data de atualização"
"UNIMED CENTRO PAULISTA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS (414573)";"Médico Hospitalar";"Pequeno";"32";"16";"  13,51";"  40,05";"  53,10";"  39,72";"   13,34";"0,00";"0,00";"0,00";"  13,69";"  13,75";"  13,76";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED CENTRO RONDÔNIA COOPERATIVA DE TRABALHO MÉDICO (347507)";"Médico Hospitalar";"Médio";"78";"84";"   2,47";"   2,77";"   3,08";"   3,07";"    3,07";"   2,77";"   2,46";"   2,16";"   2,46";"   1,84";"   2,63";"   1,95";"202208";"13/09/2022 15:15:14"
"UNIMED CENTRO SUL FLUMINENSE COOPERATIVA DE TRABALHO MÉDICO (320897)";"Médico Hospitalar";"Pequeno";"173";"173";"0,00";"   0,70";"   1,39";"   2,08";"    1,39";"   2,77";"   2,08";"   2,77";"   1,39";"   3,47";"   4,84";"   6,22";"202208";"13/09/2022 15:15:14"
"UNIMED CHAPECÓ - COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO OESTE CATARINENSE (354295)";"Médico Hospitalar";"Médio";"201";"192";"   0,18";"   0,37";"   0,18";"   0,74";"    0,74";"   0,93";"   0,75";"   0,56";"   0,57";"   0,57";"   0,57";"   0,38";"202208";"13/09/2022 15:15:14"
"UNIMED CONSELHEIRO LAFAIETE COOPERATIVA DE TRABALHO MÉDICO LTDA (345709)";"Médico Hospitalar";"Médio";"73";"74";"   2,72";"   3,11";"   1,56";"   1,56";"    2,34";"   1,96";"   3,13";"   2,36";"   3,14";"   1,97";"   1,96";"   1,57";"202208";"13/09/2022 15:15:14"
"UNIMED COSTA DO DESCOBRIMENTO COOPERATIVA DE TRABALHO MÉDICO (324345)";"Médico Hospitalar";"Médio";"113";"94";"   1,33";"   2,22";"   1,78";"   3,12";"    4,46";"   4,48";"   4,50";"   2,26";"   2,25";"   1,35";"   2,71";"   2,71";"202208";"13/09/2022 15:15:14"
"UNIMED COSTA OESTE - COOPERATIVA DE TRABALHO MÉDICO (371106)";"Médico Hospitalar";"Médio";"199";"204";"   0,20";"0,00";"   0,68";"   0,68";"    0,91";"   0,92";"   0,93";"   1,16";"   1,40";"   1,64";"   1,41";"   0,47";"202208";"13/09/2022 15:15:14"
"UNIMED COSTA VERDE RJ (311146)";"Médico Hospitalar";"Pequeno";"60";"47";"   6,30";"   8,13";"  10,88";"   8,19";"    6,37";"   4,55";"   3,63";"   3,63";"   3,64";"   2,75";"   6,47";"   6,52";"202208";"13/09/2022 15:15:14"
"UNIMED CUIABA COOPERATIVA DE TRABALHO MÉDICO (342084)";"Médico Hospitalar";"Grande";"61";"59";"   2,69";"   3,48";"   4,77";"   4,84";"    4,57";"   4,11";"   3,97";"   4,71";"   4,94";"   7,17";"   7,18";"   7,51";"202208";"13/09/2022 15:15:14"
"UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS (304701)";"Médico Hospitalar";"Grande";"38";"37";"   5,28";"   6,49";"   6,67";"   6,85";"    6,71";"   6,61";"   6,39";"   6,73";"   7,17";"   7,49";"   7,12";"   6,67";"202208";"13/09/2022 15:15:14"
"UNIMED CURVELO COOPERATIVA DE TRABALHO MÉDICO LTDA. (330108)";"Médico Hospitalar";"Médio";"125";"125";"   1,08";"   1,36";"   1,37";"   1,65";"    2,48";"   2,49";"   1,94";"   1,10";"   1,63";"   1,63";"   2,18";"   2,46";"202208";"13/09/2022 15:15:14"
"UNIMED DE ADAMANTINA-COOPERATIVA DE TRABALHO MÉDICO (311944)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,52";"   1,52";"   1,51";"0,00";"   1,49";"   3,02";"   3,05";"202208";"13/09/2022 15:15:14"
"UNIMED DE ANDRADINA - COOPERATIVA DE TRABALHO MÉDICO (303844)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"    0,57";"   1,15";"   1,15";"   1,16";"   1,16";"   1,12";"   1,09";"   1,60";"202208";"13/09/2022 15:15:14"
"UNIMED DE ARACATUBA - COOPERATIVA DE TRABALHO MÉDICO (369411)";"Médico Hospitalar";"Médio";"138";"170";"   0,94";"   0,63";"   1,25";"   1,25";"    1,58";"   0,95";"   1,59";"   1,90";"   1,90";"   1,91";"   1,28";"   1,60";"202208";"13/09/2022 15:15:14"
"UNIMED DE ARARAQUARA - COOP. DE TRAB. MÉDICO (364312)";"Médico Hospitalar";"Médio";"128";"136";"   1,07";"   1,07";"   1,18";"   1,72";"    1,61";"   1,51";"   1,40";"   1,94";"   1,62";"   1,62";"   1,73";"   1,85";"202208";"13/09/2022 15:15:14"
"UNIMED DE ARIQUEMES COOPERATIVA DE TRABALHO MÉDICO (358169)";"Médico Hospitalar";"Pequeno";"99";"107";"   2,66";"   2,65";"0,00";"0,00";"    2,60";"   2,59";"   2,58";"   2,56";"   5,10";"   5,07";"   2,52";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO (300713)";"Médico Hospitalar";"Médio";"164";"133";"   0,57";"   1,13";"   0,85";"   1,42";"    1,15";"   1,16";"   0,29";"0,00";"   0,29";"   0,58";"   0,88";"   0,60";"202208";"13/09/2022 15:15:14"
"UNIMED DE AVARÉ COOPERATIVA DE TRABALHO MÉDICO (304123)";"Médico Hospitalar";"Pequeno";"173";"172";"0,00";"   0,70";"   0,70";"   0,70";"    0,70";"   2,09";"   2,78";"   2,08";"   0,69";"0,00";"   0,69";"   0,69";"202208";"13/09/2022 15:15:14"
"UNIMED DE BARRA MANSA SOC. COOP. SERV.MED.E HOSPIT. (330264)";"Médico Hospitalar";"Pequeno";"168";"146";"   0,59";"   1,17";"   0,58";"   0,58";"0,00";"0,00";"0,00";"   0,57";"   2,81";"   4,44";"   4,96";"   3,28";"202208";"13/09/2022 15:15:14"
"UNIMED DE BARRETOS COOPERATIVA DE TRABALHO MÉDICO (347108)";"Médico Hospitalar";"Médio";"203";"204";"0,00";"0,00";"0,00";"   0,50";"    1,03";"   1,05";"   1,08";"   0,54";"   1,63";"   1,63";"   2,16";"   1,62";"202208";"13/09/2022 15:15:14"
"UNIMED DE BATATAIS - COOPERATIVA DE TRABALHO MÉDICO (313149)";"Médico Hospitalar";"Pequeno";"118";"127";"   1,73";"   1,73";"   1,73";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   3,42";"   3,41";"   3,41";"202208";"13/09/2022 15:15:14"
"UNIMED DE BAURU COOPERATIVA DE TRABALHO MÉDICO (369659)";"Médico Hospitalar";"Grande";"80";"77";"   1,19";"   1,39";"   1,59";"   2,69";"    2,69";"   2,41";"   2,13";"   2,55";"   2,56";"   3,08";"   2,88";"   2,79";"202208";"13/09/2022 15:15:14"
"UNIMED DE BEBEDOURO COOPERATIVA DE TRABALHO MÉDICO (331341)";"Médico Hospitalar";"Médio";"152";"146";"   0,71";"   0,95";"   0,71";"   1,43";"    1,67";"   2,38";"   2,62";"   2,85";"   2,37";"   2,13";"   1,89";"   2,36";"202208";"13/09/2022 15:15:14"
"UNIMED DE BIRIGUI - COOPERATIVA DE TRABALHO MÉDICO (345776)";"Médico Hospitalar";"Médio";"132";"156";"   1,00";"   1,01";"   1,01";"   1,01";"    0,50";"0,00";"   0,50";"   0,50";"   1,01";"   1,01";"   1,01";"   0,50";"202208";"13/09/2022 15:15:14"
"UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO (304883)";"Médico Hospitalar";"Médio";"196";"199";"   0,24";"   0,25";"   0,49";"   0,49";"    0,49";"   0,25";"   0,25";"   0,75";"   1,04";"   1,53";"   1,01";"   0,97";"202208";"13/09/2022 15:15:14"
"UNIMED DE BRUSQUE COOPERATIVA DE TRABALHO MÉDICO (348244)";"Médico Hospitalar";"Pequeno";"170";"131";"   0,55";"   1,65";"   2,78";"   3,35";"    3,93";"   3,93";"   2,81";"   1,13";"   1,13";"   1,71";"   2,28";"   3,42";"202208";"13/09/2022 15:15:14"
"UNIMED DE CAÇAPAVA - COOPERATIVA DE TRABALHO MEDICO (334154)";"Médico Hospitalar";"Pequeno";"159";"133";"   0,76";"   1,52";"   0,75";"   0,74";"    0,73";"   0,73";"   0,73";"0,00";"   1,44";"   2,16";"   2,16";"   0,72";"202208";"13/09/2022 15:15:14"
"UNIMED DE CAMPOS COOPERATIVA DE TRABALHO MÉDICO (352683)";"Médico Hospitalar";"Médio";"49";"39";"   4,80";"   7,09";"   7,10";"   9,61";"    8,98";"   7,93";"   5,64";"   7,10";"  10,43";"  11,03";"  12,45";"  15,95";"202208";"13/09/2022 15:15:14"
"UNIMED DE CAPIVARI -COOPERATIVA DE TRABALHO MÉDICO (366340)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"   0,82";"   2,47";"    2,49";"   1,66";"0,00";"   1,69";"   1,71";"   1,73";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED DE CASCAVEL COOPERATIVA DE TRABALHO MÉDICO (370070)";"Médico Hospitalar";"Médio";"161";"137";"   0,64";"   1,06";"   0,96";"   1,07";"    0,75";"   0,75";"   0,65";"   0,97";"   1,41";"   1,74";"   1,20";"   0,99";"202208";"13/09/2022 15:15:14"
"UNIMED DE CATALÃO COOPERATIVA DE TRABALHO MÉDICO (324566)";"Médico Hospitalar";"Pequeno";"108";"150";"   2,14";"   1,08";"   2,21";"   2,80";"    2,25";"   1,12";"0,00";"   0,56";"   0,56";"   1,11";"   0,55";"   1,65";"202208";"13/09/2022 15:15:14"
"UNIMED DE CATANDUVA - COOPERATIVA DE TRABALHO MÉDICO (351407)";"Médico Hospitalar";"Médio";"165";"172";"   0,57";"   0,57";"   0,29";"0,00";"0,00";"   0,29";"   0,28";"   0,57";"   0,56";"   0,84";"   1,40";"   1,39";"202208";"13/09/2022 15:15:14"
"UNIMED DE CIANORTE - COOPERATIVA DE TRABALHO MEDICO  (354627)";"Médico Hospitalar";"Pequeno";"155";"128";"   0,84";"   1,68";"   1,69";"   2,54";"    1,69";"   3,38";"   2,52";"   3,36";"   1,68";"   1,67";"   1,67";"   1,67";"202208";"13/09/2022 15:15:14"
"UNIMED DE CORUMBA COOPERATIVA DE TRABALHO MÉDICO (344788)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,54";"   2,62";"   5,50";"   2,88";"   2,94";"202208";"13/09/2022 15:15:14"
"UNIMED DE CRICIÚMA COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO CARBONÍFERA (329339)";"Médico Hospitalar";"Médio";"107";"106";"   1,50";"   1,75";"   1,25";"   0,88";"    0,63";"   1,00";"   1,38";"   1,26";"   1,27";"   0,89";"   1,29";"   1,55";"202208";"13/09/2022 15:15:14"
"UNIMED DE DOURADOS COOPERATIVA DE TRABALHO MÉDICO LTDA (333662)";"Médico Hospitalar";"Médio";"89";"90";"   2,10";"   2,45";"   2,81";"   2,81";"    2,45";"   2,10";"   1,75";"   2,79";"   2,09";"   2,08";"   0,69";"   1,04";"202208";"13/09/2022 15:15:14"
"UNIMED DE DRACENA - COOPERATIVA DE TRABALHO MÉDICO (314781)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"   1,28";"   1,26";"    1,26";"0,00";"0,00";"   5,27";"   5,38";"   5,40";"0,00";"   1,36";"202208";"13/09/2022 15:15:14"
"UNIMED DE FERNANDOPOLIS - COOPERATIVA DE TRABALHO MÉDICO (326089)";"Médico Hospitalar";"Pequeno";"97";"104";"   2,73";"   2,75";"   1,39";"   1,41";"    1,41";"   1,42";"0,00";"0,00";"0,00";"   1,44";"   1,44";"   1,44";"202208";"13/09/2022 15:15:14"
"UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA MÉDICA LTDA. (317144)";"Médico Hospitalar";"Grande";"28";"24";"   6,54";"   8,41";"   9,34";"  10,18";"   10,84";"  12,25";"  13,72";"  14,59";"  13,99";"  14,10";"  14,20";"  13,03";"202208";"13/09/2022 15:15:14"
"UNIMED DE GUARATINGUETA-COOPERATIVA DE TRABALHO MÉDICO (355577)";"Médico Hospitalar";"Pequeno";"105";"168";"   2,32";"   0,77";"   0,78";"   0,78";"    1,56";"   2,34";"   2,35";"   3,15";"   3,17";"   3,19";"   3,21";"   3,24";"202208";"13/09/2022 15:15:14"
"UNIMED DE GUARULHOS COOPERATIVA DE TRABALHO MÉDICO (333051)";"Médico Hospitalar";"Médio";"52";"45";"   4,56";"   6,48";"   6,07";"   5,80";"    5,37";"   6,55";"   5,97";"   5,02";"   4,15";"   6,17";"   7,92";"   9,40";"202208";"13/09/2022 15:15:14"
"UNIMED DE IBITINGA COOPERATIVA DE TRABALHO MÉDICO (365238)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,57";"   2,37";"202208";"13/09/2022 15:15:14"
"UNIMED DE ITATIBA COOPERATIVA DE TRABALHO MÉDICO (415014)";"Médico Hospitalar";"Médio";"144";"131";"   0,85";"   1,28";"   2,18";"   3,12";"    3,61";"   4,06";"   4,08";"   3,18";"   2,28";"   1,37";"   3,26";"   3,27";"202208";"13/09/2022 15:15:14"
"UNIMED DE JABOTICABAL COOP. DE TRABALHO MÉDICO (329886)";"Médico Hospitalar";"Médio";"154";"165";"   0,70";"   0,70";"   0,70";"   2,13";"    2,49";"   2,88";"   1,80";"   1,08";"   0,36";"0,00";"0,00";"   0,36";"202208";"13/09/2022 15:15:14"
"UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA. (334847)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,18";"202208";"13/09/2022 15:15:14"
"UNIMED DE JOINVILLE COOPERATIVA DE TRABALHO MÉDICO (321273)";"Médico Hospitalar";"Grande";"74";"80";"   1,65";"   1,26";"   1,56";"   1,86";"    1,87";"   1,58";"   0,79";"   1,11";"   1,55";"   1,89";"   2,53";"   2,32";"202208";"13/09/2022 15:15:14"
"UNIMED DE LENÇOIS PAULISTA - COOPERATIVA DE TRABALHO MÉDICO (325031)";"Médico Hospitalar";"Médio";"134";"142";"   0,99";"   1,00";"   1,01";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,49";"   0,47";"   0,46";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO (301574)";"Médico Hospitalar";"Médio";"136";"160";"   0,96";"   0,78";"   1,18";"   1,40";"    2,45";"   1,66";"   1,05";"   0,85";"   1,28";"   1,29";"   0,86";"   0,43";"202208";"13/09/2022 15:15:14"
"UNIMED DE LINS - COOPERATIVA DE TRABALHOS MÉDICOS (354279)";"Médico Hospitalar";"Pequeno";"165";"141";"   0,65";"   1,30";"   0,65";"   1,95";"    1,95";"   1,96";"   0,65";"0,00";"0,00";"0,00";"   0,65";"   0,65";"202208";"13/09/2022 15:15:14"
"UNIMED DE LONDRINA COOPERATIVA DE TRABALHO MÉDICO (343269)";"Médico Hospitalar";"Grande";"85";"79";"   0,70";"   1,37";"   2,08";"   2,24";"    1,69";"   1,24";"   1,14";"   1,41";"   1,73";"   1,85";"   2,17";"   1,91";"202208";"13/09/2022 15:15:14"
"UNIMED DE LORENA COOPERATIVA DE TRABALHO MÉDICO (385620)";"Médico Hospitalar";"Pequeno";"95";"100";"   2,82";"   2,81";"0,00";"   1,39";"    1,38";"   1,39";"0,00";"   1,40";"   1,41";"   1,41";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE (302953)";"Médico Hospitalar";"Médio";"64";"77";"   3,25";"   2,96";"   2,82";"   3,42";"    3,42";"   5,07";"   4,04";"   4,82";"   4,40";"   5,65";"   5,97";"   4,28";"202208";"13/09/2022 15:15:14"
"UNIMED DE MANAUS COOP. DO TRABALHO MÉDICO LTDA (311961)";"Médico Hospitalar";"Pequeno";"52";"51";"   7,13";"   7,60";"   8,60";"  11,62";"   11,58";"   8,04";"   8,46";"   8,92";"  15,23";"  17,16";"  24,83";"  29,45";"202208";"13/09/2022 15:15:14"
"UNIMED DE MARILIA COOPERATIVA DE TRABALHO MÉDICO (336106)";"Médico Hospitalar";"Médio";"155";"138";"   0,70";"   1,06";"   1,42";"   2,03";"    2,04";"   1,93";"   1,21";"   1,34";"   1,22";"   1,35";"   1,23";"   1,35";"202208";"13/09/2022 15:15:14"
"UNIMED DE MINEIROS COOPERATIVA DE TRABALHO MÉDICO  (357715)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,67";"   4,01";"   4,03";"   1,36";"0,00";"   1,37";"   1,38";"202208";"13/09/2022 15:15:14"
"UNIMED DE MOCOCA COOPERATIVA DE TRAB. MÉDICO (328308)";"Médico Hospitalar";"Pequeno";"173";"171";"0,00";"   0,74";"   1,48";"   1,48";"    1,48";"   0,74";"   1,48";"   2,22";"   3,70";"   2,96";"   1,48";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED DE MONTE ALTO - COOPERATIVA DE TRABALHO MÉDICO (309524)";"Médico Hospitalar";"Pequeno";"130";"186";"   1,51";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED DE OURINHOS - COOPERATIVA DE TRABALHO MÉDICO (311294)";"Médico Hospitalar";"Médio";"102";"99";"   1,68";"   2,02";"   2,02";"   1,01";"    1,67";"   1,66";"   1,32";"   0,33";"   1,33";"   2,01";"   3,37";"   2,37";"202208";"13/09/2022 15:15:14"
"UNIMED DE PARANAGUÁ COOPERATIVA DE TRABALHO MÉDICO (361615)";"Médico Hospitalar";"Médio";"129";"112";"   1,05";"   1,63";"   1,64";"   1,97";"    1,98";"   1,66";"   1,67";"   1,34";"   1,34";"   1,00";"   1,34";"   2,01";"202208";"13/09/2022 15:15:14"
"UNIMED DE PARANAVAÍ COOPERATIVA DE TRABALHO MÉDICO (320862)";"Médico Hospitalar";"Médio";"203";"204";"0,00";"0,00";"   0,41";"   1,25";"    1,25";"   2,51";"   2,52";"   3,36";"   3,37";"   3,40";"   4,72";"   3,44";"202208";"13/09/2022 15:15:14"
"UNIMED DE PENAPOLIS - COOPERATIVA DE TRABALHO MEDICO (323004)";"Médico Hospitalar";"Pequeno";"112";"81";"   1,99";"   3,98";"   2,00";"   4,01";"    2,01";"   4,03";"   2,02";"   2,03";"0,00";"   2,05";"   2,06";"   2,06";"202208";"13/09/2022 15:15:14"
"UNIMED DE PINDAMONHANGABA - COOPERATIVA TRABALHO MEDICO (342343)";"Médico Hospitalar";"Pequeno";"66";"69";"   5,25";"   5,29";"   2,13";"   1,07";"0,00";"   1,07";"   1,07";"   1,08";"   1,08";"   2,18";"   3,27";"   3,28";"202208";"13/09/2022 15:15:14"
"UNIMED DE PIRACICABA SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS (315729)";"Médico Hospitalar";"Grande";"58";"63";"   2,79";"   2,94";"   2,55";"   2,50";"    2,30";"   2,50";"   2,57";"   3,45";"   4,14";"   4,02";"   3,62";"   3,02";"202208";"13/09/2022 15:15:14"
"UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MÉDICO (314242)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,18";"   2,38";"   2,39";"   2,39";"   1,19";"   1,19";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED DE PRESIDENTE PRUDENTE COOPERATIVA DE TRAB. MÉDICO (315796)";"Médico Hospitalar";"Grande";"89";"88";"   0,50";"   0,70";"   1,00";"   0,90";"    0,60";"   0,50";"   0,40";"   0,60";"   0,60";"   0,71";"   0,71";"   1,22";"202208";"13/09/2022 15:15:14"
"UNIMED DE REGISTRO COOPERATIVA DE TRABALHO MÉDICO (351776)";"Médico Hospitalar";"Pequeno";"70";"96";"   4,57";"   3,04";"   1,52";"0,00";"    1,52";"   4,53";"   5,99";"   4,46";"   2,96";"   1,49";"   2,99";"   1,50";"202208";"13/09/2022 15:15:14"
"UNIMED DE RIBEIRAO PRETO - COOPERATIVA DE TRABALHO MÉDICO (351202)";"Médico Hospitalar";"Grande";"70";"71";"   2,00";"   2,02";"   2,49";"   2,37";"    2,17";"   2,11";"   2,25";"   2,34";"   2,42";"   2,51";"   2,86";"   2,95";"202208";"13/09/2022 15:15:14"
"UNIMED DE RIO CLARO SP COOPERATIVA DE TRABALHO MEDICO (306126)";"Médico Hospitalar";"Médio";"166";"175";"   0,52";"   0,52";"   0,26";"   0,26";"    0,26";"   0,77";"   0,51";"   0,51";"   0,26";"   0,77";"   1,02";"   1,28";"202208";"13/09/2022 15:15:14"
"UNIMED DE SANTA BÁRBARA D'OESTE E AMERICANA - COOP DE TRABALHO MÉDICO (369292)";"Médico Hospitalar";"Médio";"127";"117";"   1,07";"   1,50";"   1,29";"   1,51";"    1,19";"   1,51";"   1,20";"   1,32";"   1,45";"   2,72";"   2,89";"   2,56";"202208";"13/09/2022 15:15:14"
"UNIMED DE SANTOS COOP DE TRAB MEDICO (355721)";"Médico Hospitalar";"Grande";"48";"55";"   3,60";"   4,05";"   3,49";"   4,06";"    3,94";"   4,69";"   4,09";"   3,80";"   4,00";"   4,55";"   5,07";"   4,61";"202208";"13/09/2022 15:15:14"
"UNIMED DE SAO JOSÉ DO RIO PARDO-COOP. DE TRAB. MÉDICO (354619)";"Médico Hospitalar";"Pequeno";"150";"161";"   0,96";"   0,96";"0,00";"   0,97";"    0,98";"   0,98";"0,00";"0,00";"0,00";"0,00";"   0,99";"   0,99";"202208";"13/09/2022 15:15:14"
"UNIMED DE SÃO ROQUE - COOPERATIVA DE TRABALHO MÉDICO (318388)";"Médico Hospitalar";"Médio";"131";"127";"   1,01";"   1,34";"   1,01";"   1,68";"    1,35";"   1,68";"   0,33";"   0,33";"   0,67";"   0,67";"   1,01";"   1,01";"202208";"13/09/2022 15:15:14"
"UNIMED DE SOBRAL SOCIEDADE COOPERATIVA MÉDICA LTDA (303178)";"Médico Hospitalar";"Pequeno";"74";"68";"   4,27";"   5,48";"   3,65";"   4,27";"    3,06";"   1,84";"   4,31";"   4,31";"   3,69";"   0,61";"   0,61";"   1,85";"202208";"13/09/2022 15:15:14"
"UNIMED DE TATUI - COOPERATIVA DE TRABALHO MÉDICO (361941)";"Médico Hospitalar";"Pequeno";"143";"182";"   1,05";"   0,53";"   1,06";"   1,06";"    1,60";"   2,67";"   2,69";"   3,77";"   2,16";"   2,15";"   1,61";"   1,61";"202208";"13/09/2022 15:15:14"
"UNIMED DE TAUBATÉ COOPERATIVA DE TRABALHO MÉDICO (363286)";"Médico Hospitalar";"Pequeno";"87";"62";"   3,20";"   6,38";"   6,37";"   7,95";"    4,76";"   3,97";"   5,56";"   6,35";"   7,14";"   6,36";"   7,96";"   7,18";"202208";"13/09/2022 15:15:14"
"UNIMED DE TRES LAGOAS COOPERATIVA DE TRABALHO MÉDICO (342386)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,52";"   6,07";"   9,13";"   7,60";"   3,03";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED DE TUBARAO - COOPERATIVA DE TRABALHO MEDICO DA REGIAO DA AMUREL (364860)";"Médico Hospitalar";"Médio";"156";"151";"   0,68";"   0,91";"   0,91";"   0,69";"    0,46";"   0,93";"   1,18";"   1,19";"   1,43";"   1,91";"   2,14";"   2,37";"202208";"13/09/2022 15:15:14"
"UNIMED DE TUPA COOPERATIVA DE TRABALHO MÉDICO (365530)";"Médico Hospitalar";"Pequeno";"173";"159";"0,00";"   0,97";"   0,97";"   0,97";"    0,97";"   0,97";"   0,97";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED DE UBA COOPERATIVA DE TRABALHO MEDICO (362573)";"Médico Hospitalar";"Pequeno";"110";"95";"   2,05";"   3,08";"   2,06";"   1,04";"0,00";"   1,04";"   2,06";"   3,10";"   2,07";"   2,05";"   3,05";"   4,04";"202208";"13/09/2022 15:15:14"
"UNIMED DE VOLTA REDONDA COOPERATIVA DE TRABALHO MÉDICO (364584)";"Médico Hospitalar";"Médio";"44";"52";"   5,43";"   5,15";"   6,05";"   7,99";"    6,95";"   7,11";"   5,04";"   6,09";"   6,23";"   7,73";"   8,47";"   7,58";"202208";"13/09/2022 15:15:14"
"UNIMED DE VOTUPORANGA - COOPERATIVA DE TRABALHO MÉDICO (328073)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,01";"   1,01";"   2,03";"   1,02";"   2,06";"202208";"13/09/2022 15:15:14"
"UNIMED DIVINOPOLIS - COOPERATIVA DE TRABALHO MEDICO LTDA (319121)";"Médico Hospitalar";"Grande";"81";"81";"   1,01";"   1,17";"   0,86";"   1,19";"    1,04";"   1,32";"   0,83";"   1,10";"   0,94";"   1,27";"   1,11";"   1,28";"202208";"13/09/2022 15:15:14"
"UNIMED DO CARIRI - SOCIEDADE COOPERATIVA MÉDICA LTDA (356123)";"Médico Hospitalar";"Médio";"27";"44";"   8,62";"   6,56";"   5,39";"   3,91";"    6,05";"   6,07";"   7,89";"   6,97";"   8,16";"   6,93";"   7,53";"   7,24";"202208";"13/09/2022 15:15:14"
"UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA. (321958)";"Médico Hospitalar";"Médio";"60";"53";"   3,81";"   5,13";"   5,63";"   6,00";"    5,34";"   5,51";"   5,95";"   5,98";"   6,26";"   7,63";"   8,16";"   8,98";"202208";"13/09/2022 15:15:14"
"UNIMED DO ESTADO DE SANTA CATARINA FED. EST. DAS COOP. MÉD. (355691)";"Médico Hospitalar";"Grande";"75";"73";"   1,52";"   1,91";"   2,11";"   2,18";"    2,13";"   2,00";"   1,88";"   1,62";"   1,17";"   1,10";"   1,10";"   1,55";"202208";"13/09/2022 15:15:14"
"UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS (319996)";"Médico Hospitalar";"Grande";"54";"49";"   3,20";"   4,42";"   4,38";"   5,33";"    5,08";"   5,41";"   5,01";"   4,83";"   5,16";"   5,01";"   4,69";"   4,04";"202208";"13/09/2022 15:15:14"
"UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS (312720)";"Médico Hospitalar";"Grande";"67";"67";"   2,20";"   2,69";"   2,83";"   3,23";"    3,04";"   3,63";"   3,44";"   4,10";"   3,45";"   3,85";"   3,57";"   4,16";"202208";"13/09/2022 15:15:14"
"UNIMED DO OESTE DA BAHIA COOPERATIVA DE TRABALHO MÉDICO (325082)";"Médico Hospitalar";"Pequeno";"80";"87";"   3,60";"   3,58";"   3,55";"   5,30";"    3,53";"   7,05";"   5,28";"   3,52";"   3,51";"   3,50";"   5,24";"   3,48";"202208";"13/09/2022 15:15:14"
